Hectare,Shift,Date,Note Squirrel & Park Stories, Squirrel Experience or Squirrel Story, Park Experience or Census Taker Story, Dogs, Other Animals, Accidental Poems, Squirrels Acting Odd, Census Takers Recognized, Other
10A,PM,10142018,"* lots of tourists, singing groups and people out 
* The woman selling pictures next to strawberry field said the squirrels here run up + down the trees all day gathering nuts, and acorns constantly fall on her head!",,true,,,,,,
10A,AM,10062018,"couple sitting on bench 
family with baby carriage 
Tourist walking around 
strawberry field with Guide 
car near (?) car traffic near 
road 
Dog walking 
Red Robbins hopping around",,,,,true,,,
10B,AM,10062018,"At first we were getting somewhat discouraged, given the running race and the large number of dogs in the hectare. But then, we saw her. She darted out of the bushes right in front of us and scampered up a very tall tree. When we looked up, we saw that she was with a juvenile high in the top of the tree.",true,,,,,,,
10B,AM,10202018,"So many dogs unleashed!

Lots of runners (people)!",,true,true,,,,,
10B,PM,10142018,"Last three squirrels were in the same area and seemed to keep their distance from each other. When they got close to each other they ran in circles around each other, they ran and circled around each other. They stood apart and one held his tail straight up and moved it left to right a little (maybe meaning, ""I don’t want to fight"") and then they separated. There was some loud singing at Strawberry Fields from a Christian band that had been at the Beacon I was told by a friend.",true,true,,,,,,
10C,AM,10072018,"Fancy black standard poodle is stalking a squirrel. hides behind tree, rather than run up tree. 
Squirrel holds nut in its mouth, twitches tail. 

- Near Falconer statue there are no people + no squirrels in rocky area. 

Squirrels all near paths w/ people in the area 

Sometimes I would throw an acorn for the squirrels, and half the time they'd eat it.",true,,,,,,,
10C,PM,10132018,"Heavy pedestrian traffic.

Music playing.

Lots of birds and nests.",,true,,true,,,,Birds
10C,AM,10182018,I am cold.,,true,,,,,,
10D,AM,10082018,"(1) Walking tour group
(2) Cyclist who had a whistle in her mouth and blew it when people were in her way
(3) Squirrel 5 was like an acrobat, hanging onto a branch by its legs upside down. 
It would pull leaves off, eat them, then toss whatever it couldn't eat onto the ground 
(4) Squirrel 5 and 4 chased each other through trees",,true,,,,true,,
10D,PM,10082018,"It’s lucky that I found my first squirrel just when I started to count. However, that’s also the last squirrel I found in this hectare. The squirrels seem to prefer to staying in their hives, for I found many holes in the trees without squirrels showing up. Instead, the birds are active. And I found one red breast (seems to be) which I saw not from television for the first time.",,true,,true,,,,Birds
10E,PM,10202018,Area near flagpole calm but loud music and large crowd nearby.,,true,,,,,,
10E,PM,10072018,"Parts of hectare were calm, but they were sandwiched between a drum concert and a pop-up roller disco (competing noise), so it all felt busy. I didn’t want to be there. I don’t blame the squirrels for not wanting to be there either.",,true,,,,,,
10E,AM,10102018,"Squirrels were being very noisy in the area, but few were seen.

There was one black squirrel sighted though — foraging, jumping more than others I’d seen.

Nearby (Hector 9-E), park was doing tree trimming, which may have impact the population.",true,true,,,,,,
10F,PM,10192018,"Guy with dancing marionette. Moms/nannies with strollers on Mall. Group = free kids' concert at bandshell. 

Live Statue of Liberty taking photos with tourists + Gold Angel with wings = Kids' movie shoot in Japanese

- electric skateboards

- Rollerblading around cones

- leaves turning yellow",,true,,,,,,
10F,AM,10072018,"Photoshoot of a person dressed as a cat.

Little kids performing an operatic rendition of the ABCs in the bandshell.",,true,,,,,,
10F,PM,10062018,"- Very loud music

- Squirrel #6 attracted five human tourists. They took photos and the squirrel got very close to their hands.",true,true,,,,,,
10G,PM,10172018,"The Rumsey Playground is closed for construction. It’s all sand with no trees. 

It seems squirrels are never around the trees with peeling bark — Sycamore, I think.",,true,,,,,,
10G,AM,10062018,"- Loud speaker announcing runners' names nonstop
- Runners walking by constantly
- Blue jay tree fight
- Summerstage workers moving items
- Many porta-potties lining the area
- No access in Summerstage (closed to external access)
- No squirrels near Mothe",true,true,,true,,,,Birds
10H,AM,10142018,"Lots of acorns on the ground
Lots of people walking by (?)
[unintelligible word] walk/run
A lot of loud music",,,,,true,,,
10H,PM,10072018,"Couldn’t reach the west side of 10-H due to the show at Summer Stage — Elsie Fest? Blocking the entrance to the Mother Goose statue was the VIP line (opens at 5 p.m.) and a security barricade. On East Drive is a steady stream of horse carriage rides, bicycles, and pedestrians.

Squirrel #1 was climbing a tree right by the line of people waiting for the concert.

Didn’t see any hawks but heard the constant “cawing.”

On the east side of 10-H in the lawn, there are five picnicking groups, one dog (on leash), two kids kicking soccer balls.

Didn’t spot any squirrels on inside of 10-H even though I thought they might be in the tall oak trees.",,true,true,,,,,
10I,AM,10102018,"Loud cyclists on East Drive nearby! 
Ambulance on the street. 
Some surveying machine set up. 
Or is it a water sprayer?
A person w/ 5 dogs all the same breed staring down (1) squirrel.
Super loud buses on the street.",,true,true,,,,,
11A,PM,10132018,"a rat, holding an apple core in its mouth, 
hopping leisurely off Race Drive and into 
the undergrowth 

a robin (looks upset) 
two finches 
two finches (same finches?
abandoned tennis balls",,,,,true,,,
11A,AM,10142018,"Two women with three schnauzers — the dogs love sitting on the bench but the derpy one is facing the wrong way.

Fat dachshund doesn't like walking uphill. Owner seems concerned about what other dogs might think. 

Fluff dog central — two St. Bernards, one Bernese mountain dog, one old English sheepdog, and one Chow/Samoyed mix (a fat Samoyed).

There's always a guitarist at Strawberry Fields but this is the first time I've seen a woman — she's Asian in a purple beret and she's quite good! Five stars.

Sadly, nary a squirrel to be seen.",,true,true,,,,,
11B,PM,10202018,Very heavy foot traffic. Squirrels maybe don't like John Lennon tunes?,,,,,,true,,
11C,PM,10182018,"A squirrel nest sat high on the top floor of a prime real estate tree, but no squirrels to be seen. I turned, then suddenly saw him — an older gray squirrel, long time Upper West Sider, it seems.",true,,,,,,,
11D,PM,10062018,"As we spotted squirrels 1 and 2, a mama and baby who chased and grooved and nuzzled around a tree, a wedding was unfolding beneath a nearby gazebo. Quietly, we snuck a long the outskirts of the gathered crowd. Once again, we were quiet interlopers as we spotted squirrels 4 and 5. Women in complicated scrappy black lingerie, giant feathered and horned headdresses, and shiny satin robes posed for a photo shoot while the squirrels snacked.",true,,,,,,,
11D,AM,10102018,"This bench is for Emma, the good dog.

I thought that squirrel and I had a bond. I was just next to its drinking fountain.",true,true,,,,,,
11E,AM,10132018,"A man was selling ponchos at the Bethesda 
Fountain & singing, ""Did you save your money for
a rainy day? That's what my grandmother used
to say.""",,,,,true,,,
11E,PM,10122018,"The area around the front of Bethesda Fountain was very busy. A busker was playing guitar and singing with an amp at the fountain, a couple was having an argument about a stolen credit card PIN while lounging on a blanket near Squirrel #5. All of these squirrels were snacking and looked like they had been for some time — they were Rubenesque! All of the squirrels seemed unperturbed by nearby humans – all have acorns in hand, happily munching unnoticed by humanity. Squirrels #1 through #4 kept themselves evenly spaced and equidistant – sharing the little knoll.",true,true,,,,,,
11F,AM,10132018,"Lots of tourists and tour groups. 
There was a 5k going on through the road.",,true,,,,,,
11F,PM,10062018,"A large wedding party in navy and cream colors is taking up an entire set of steps. When I eventually walked up the steps past where they have been posing, I noticed it smelled strongly of urine. No squirrels. Too busy a spot most likely, but damn maybe they think the smell is gross, too.

Across the road, a loud percussion band is playing.

Back on the Bethesda Fountain side, I finally see squirrels! One from quite a distance from where I just was.

OK. Done. Lots of people making out in quiet spaces think I’m a creeper now.",,,,,,,,
11G,AM,10122018,"Today is the squirrel sighter got caught in some thorns — worth it, though. Found a squirrel!

Breezy and calm autumn morning with lots of joggers passing by. Rumsey Playfield being broken down for the off-season.",,true,,,,,,
11G,PM,10132018,Squirrels stayed pretty close to the woody area. Had to go into the woods to spot first. Squirrel foraged and watched me cautiously. Kept scratching itself with its leg. Two squirrels but possibly one squirrel that covered ground quickly. Lots of runners and horses and buggies.,true,true,,true,,,,
11G,AM,10192018,"Woman, exhausted from her jog, asked me for the time. (9:04 a.m.)",,true,,,,,,
11H,AM,10102018,"Horse-drawn carriage sighting. Homeless man camped out with the Pilgrim and all his belongings. Hot dog vendor, not too busy just yet.",,true,,true,,,,Horses
11H,PM,10132018,"Squirrel #1 hopping with nut in his mouth.

Squirrel #2 hopped down from tree.

Squirrel #3 digging holes and planting nuts and eating.

Squirrel #4 climbing a tree and on ground.",true,,,,,,,
11I,AM,10122018,"The tree variety in this hectare was unusually diverse. After a careful study, I’ve conducted that cinnamon colored squirrels with white highlights are the prettiest looking squirrels. The Waldo Hutchins Bench has a sundial and squirrel stonework on its side.",true,true,,,,,,
11I,AM,10192018,"- Terribly calm rat spotted in the brush near the playground. Did not even look up when a spaniel flushed a dozen sparrows near its bench.

- Yet another rat across from the info kiosk.

- THIRD RAT BY MORSE STATUE

- FOURTH RAT BY 72ND

- THIS IS FAR TOO",,true,,true,,,,
11I,PM,10122018,"- Three squirrels come out looking for food at the same time but different trees.

- Squirrels #4 through #6 come out to find food together.

- Squirrel #7 is burying its food.

* A mouse runs randomly to find its food left in the playground.",true,,,,,,,
12A,PM,10132018,"A rat came toward me but then ran away when I tried to take her portrait.

Ohh, that bird is so yellow!

Rat taking garbage from bags as her rightful due, the rat tax.

 Shiny rock!

Absolute unit of a golden retriever

The Unceded Rat Lands extend from the gully of the trash station through the thick undergrowth up to the Rustic Overlook (""a space for truth, serenity, and transition, 2001""). Squirrels watch from the opposite bank, unwary. On the Rustic Overlook, two old men smoke weed and talk about their health, also unwary.",,true,,true,,,,
12A,AM,10182018,Stopped by a man wanting to know if I was counting squirrels — he suggested I go to the Ramble. That’s where he feeds squirrels and bluejays every day.,,true,,,,,true,
12C,AM,10132018,"Lovely rainy morning 
There appear to be no squirrels on the lake's island 
The island is approximately 20 feet from the ramble's shoreline. It appears to be roughly 800 square feet. A family of squirrels ""could"" live there, quite happily, but would most likely begin to feel isolated. Some would turn on each other, while others would begin to build boats.",true,,,,,,,
12D,PM,10142018,"Heard quaas but couldn't find the source! 
(coming from the trees)
Sun was low, getting darker, few squirrels visible! 
One squirrel (#2) seemed to be chewing on a piece of bark while sitting on a branch on a tree and it was making a grinding sound (perhaps grinding his teeth down?)",true,,,,,,,
12D,AM,10132018,"There are a ton of dogs and people, some off leash, some with leashes on. Some of these hunting dogs would easily catch and kill squirrels. This area is also littered with acorns. Well, I finally saw one on my way out. It was on that large green lawn where dog owners let their dogs loose — one squirrel going from tree to tree. I don’t think they like getting wet.",true,true,true,,,,,
12D,AM,10192018,"So the squirrels here are lazy today or scared. There’s a cluster of people taking pictures and congregating on Bow Bridge. There are several off-leash dogs (around eight( in the area, some yapping.

There’s a cluster of trees (indicated on map) that have a collection of acorns under them. Looked carefully into these trees – one had a nests (maybe squirrel nest) but no squirrels in view or heard anywhere. Lots of bird calls (small birds) and one call that sounded like from a larger bird (not in view).",,true,true,,,,,
12E,AM,10172018,Necktie draped over park bench. Someone ditched their day job.,,,,,true,,,
12E,PM,10182018,"While brides took their photos at Bethesda Fountain, a young squirrel peeked its head up to see what all the fuss was about while the elder squirrel lounged upside down, hanging by its feet, on the side of a tree.",true,,,,,,,
12F,PM,10072018,"We had a nice conversation w/ a couple who asked us if we were with the squirrel census. They asked us a few questions, which we answered to the best of our ability. 

They thanked us for taking time to count the squirrels.",,,,,,,true,
12F,AM,10132018,Dog frightened squirrel. Less birds. Less people! By loud fountain area but weirdly quiet. Squirrel was comfortable. I felt as though it was playing hide and seek with me. Found a dollar,true,true,true,,,,,
12G,AM,10122018,"Shortly after off leash hours ended, the squirrels started emerging from their hiding spots. One ""early bird"" squirrel was treed by two hounds.",true,,true,,,,,
12G,PM,10072018,Squirrels #1 and #2 playing in tree near picnic house. Squirrel #3 on ground near bushes. Cat bird on tree near. Green lawn with a lot of starlings and squirrels west of 12-G. Additional squirrels outside area. Squirrel dray 40 to 50 feet above ground. Hard to see characteristics of squirrels above ground due to bad light.,true,,,,,,,
12H,AM,10072018,"Many people in this area, 100+, dogs 30+, small children, bikers. Kind of noisy because of dog Barks. Dogs running around catching balls. Bird sounds. I paid close attention to the bushes and tall trees further in the grass area. No signs of squirrels either.",,true,true,,,,,
12H,PM,10072018,"Squirrels #1, #2, #3, a lot of activity, people and birds. Lady feeding them nuts. Birds include blue jays, sparrows. Squirrel #4 eating mushrooms. Squirrel drays above Squirrel #4 in tree, 40 feet above ground. Tree full of sparrows in big round tree. Indigo called it the arguing tree. People picnicking.",true,,,,,,,
12I,AM,10132018,Heard planes overhead. Met a group of students visiting from Mexico. Traffic on 5th Avenue. Saw two more squirrels' nests high up in trees. Dog carrying a tree branch. Very gray cold wet day.,,true,true,,,,true,
12I,PM,10172018,"- Saw a nice pair of socks hanging in a bush, but they weren't my size. 

- No squirrel activity at all.

- Lots of nuts and berries on the ground.

- Hectare encloses large mowed lawn.",,true,,,,,,
13A,PM,10142018,"Dog scared me by suddenly chasing something while I was looking up in trees
May have been a squirrel 

So very busy",,,true,,,,,
13A,AM,10172018,"Many dogs still off leash after 9 AM. On behalf of the squirrels, I am offended.

Turns out, the hotdog cards use huge chunks of dry ice. Big brick of one wrapped in Kraft paper and twine, smoking.",true,true,true,,,,,
13A,PM,10192018,"This area was very busy, with bike, foot, and force traffic – despite numerous nut-bearing trees, only squirrel (#1) was observed in the open.

Towards the end of the survey period, a hawk (seemingly stooping from the campanile of the San Remo) circled the area — two squirrels (#3 and #4) I was observing in the brush bolted, although they gave no alarm call.",true,true,,true,,,,
13B,PM,10082018,"A little boy got off of his scooter right at the incline, leading to scooter sliding away. Fortunately I caught it before it got too far!",,true,,,,,,
13B,AM,10082018,"High-traffic area — lots of runners — garbage trucks, cars.

Lots of great trees — can't believe I didn't see any squirrels!

Cloudy weather — maybe they are sleeping in with their Nutella bars.",,true,,,,,,
13C,AM,10102018,"[CROSSED OUT]
3 People filming cardinal on iPads
If you know it takes longer, you know it takes longer
I mean I can pay it. I was just sort of mystified. 
Squirrel breaks into my apartment. 

[NOT CROSSED OUT]
A guy with a big white mustache & binoculars told me that a squirrel broke into his house. And, in another instance, a raccoon. Later, talking to Nate, I understand this is a story he often tells to squirrel counters.",true,,,,,,,
13C,PM,10192018,"This very narrow, bramblous strip of land produced a surprising quantity of squirrels -- I observed one very tentatively nibble on some fungus sprouting from a fallen, rotted log. 
Squirrel (5) was observed rooting up a cache of acorns and consuming one. 

[""Bug sacrificed in the name of science"" w/ arrow drawn pointing to a smear on the page]",true,,,,,,,
13D,AM,10142018,"Someone asked me what I was doing, so I told them squirrel survey. And she replied, ""I heard about this. I don't get it.""",,true,,,,,,
13D,PM,10122018,A squirrel stood on a rock and he ate some grass,true,,,,true,,,
13D,PM,10182018,"Not many people in the actual Ramble. 

Saw a cat on a leash!",,true,,true,,,,
14G,PM,10132018,Squirrel #1 up in tree.,true,,,,,,,
13E,AM,10172018,An older couple passed and the woman asked me if I was counting squirrels. She pointed me toward where she had just seen one --> in the Ramble. The man said he thought it was just one squirrel running around. I told him I said that...but about the chipmunk. Pointed some tourists toward Belvedere Castle using my Area Map. I lost track of a squirrel while helping them.,,true,,,,,,
13E,PM,10082018,Several nests where I found Squirrels #1 through #7. High up in the birch trees. Where I found Squirrels #8 through #11 there was lots of foraging by both squirrels and birds on the ground plane. Very active area.,true,,,,,,,
13F,PM,10082018,"Squirrel #1 approached me to see if I had food. When he found me lacking, he went back to digging in leaves.

Squirrels #4 and #5 were nearby one another and chased each other up and down a tree and finally across the branches.",true,,,,,,,
13F,AM,10072018,"Not many people eating at the Boathouse at start.

Squirrel #1: Climbed upwards, transitioning between many small branches. Very quiet. 

Squirrel #2: Walking around on ground floor, periodically digging. Also quiet.

Squirrel #3: Just a five-second sighting! Dog barks in distance starting around 9 a.m.

Squirrel #4: Probably a repeat of #2, still foraging on the ground.

Getting bit by flies in this area. Lots of foot trafficnear Boathouse, but no squirrel sightings around there.",true,true,true,,,,,
13G,AM,10132018,"Lots of blue birds / small birds / dogs 
Bad sax-phone playing under arch. No squirrels; lots of acorns. Worried (underlined) Met a sweet old lady w/ a cute dog; was down for the cause.",,true,true,true,,,,
13G,PM,10082018,I was shocked not to find a single squirrel foraging in the outdoor cafe. The robins and starlings were eating like kings on dinner crumbs.,,true,,true,,,,Birds
13H,PM,10102018,Two women from Amsterdam with bikes admire squirrels (“so cute!“) and ask for directions to fountain (Bethesda).,true,true,,,,,true,
13H,PM,10132018,"A bluejay! Correction: many bluejays! (at least two)
Dogs abundant off leash
Two tour groups passed",,,true,true,,,,Birds
13I,PM,10192018,Found squirrels especially behind boathouse. Used a tested squirrel call to attract and some approached me getting very close expecting that I had something to feed them. I was sorry to disappoint them.,true,,,,,,,
13I,AM,10132018,"Rainy, cold day. People are still out walking and ponchos or rain wear. Ducks on the Conservatory water. Saw a squirrel's nest in a tree next to Le Pain Quotidien. Sounds of bluejays calling. Trees have not yet changed colors. No squirrels in sight. :(  Fifth Avenue traffic.",,true,,true,,,,Birds
14A,PM,10142018,"Small birds climbing trees in the area 
Observed a squirrel in greenery on the ground  looking like he was burying something buy he was flailing his arms our - when he noticed us watching he quickly ran to a nearby tree and stopped what he was doing",,,,true,,true,,
14A,AM,10142018,"“I don’t know what that is, but don’t be afraid of it.“ – owner's wisdom to dog

“Good boy! Great job! You can do it, you’re doing great. I’M doing great.“ – owner coaching dog on running, I think",,true,true,,,,,
14B,PM,10142018,"""Are you counting the squirrel?"" a woman asked me from behind. I turned to see a mother with her son, he had a fishing pole and a net as big as his torso (filled with litter, although I couldn't tell if it was theirs or collected). 

""I am,"" I replied, and she went on to tell her son she had read about us. She asked for more, so I explained how I am walking the park, counting and documenting, categorizing and observing the squirrels. 

She told her son, ""I was thinking this could be something fun for us to try."" 

OTHER SIDE 

I told him it is fun, if you like animals or nature. 

He thought for a moment, incredulous, and asked, ""Will they ever do a TURTLE census? OR CARP? I would definitely count carp.""

His fishing pole bobbed away with his mother, still talking about the fish he could count.",,true,,,,,true,
14B,AM,10072018,Area is extremely busy w/ 2 tour groups at 9 am. Lots and lots of activity with runner + walker + people w/ dogs. Everywhere. Large dogs off leash running wild. #3 lady with black dog off leash. Scared it away. Went up a tree 50-60 high and started jumping from highest branch to highest branch,true,,true,,,,,
14B,PM,10192018,"Stumbled upon a wedding ceremony happening by the lake.

Saw some rats in this section.",,true,,true,,,,
14C,AM,10072018,I saw a lot of birds but no squirrels. :(,,,,true,,,,Birds
14C,PM,10062018,Saw man calling squirrel successfully. My legs have never hurt more. I am in pain. Cannot focus on squirrels.,true,true,,,,,,
14D,AM,10202018,"extremely enthusiastic scavenge hunting afoot 
very good german shepherd swimming/romping in rivulet",,,,,true,,,
14D,AM,10142018,"(1) Cloudy left eye 
most were foraging and eating 
(16) climbed on structure",,,,,true,true,,
14D,PM,10062018,"As we entered the hectare, we were met by Sheryl (the squirrel). Sheryl was handing out with her brother, Harold. The two of them (#2 and 3 on the map) foraged together and found many delicious nuts. Eventually, feeling full, Sheryl let out a kuk and she and Harold scurried off back to their cozy squirrel home.",,,,,,true,,
14E,PM,10172018,- Got identified as a squirrel spotter!,,,,,,,true,
14E,AM,10082018,"* Squirrels #8 and #9 were chasing; #9 chasing #8.

* Squirrel #14 was chasing itself, all alone, in the forest.

* Squirrels and #17 and #18 were snacking on a rock by where the creek flows into the pond.

* The activities of navigating a maze-like path system with a paper map and observing squirrels makes my brain work in a way that feels good to me. I feel refreshed and present with what is happening right now.

* Took 40 minutes to walk through hectare.",true,true,,,,,,
14F,AM,10072018,"Nothing of note here. The two pairs of squirrels did some chasing of one another, but that was pretty much the only notable thing I saw.",true,,,,,,,
14F,PM,10122018,"I saw and heard many birds.

Saw five squirrels together, foraging, at the last minute. Chasing as well.",true,true,,true,,,,Birds
14F,PM,10192018,"Squirrels #1, #2, #3, #4, and #5 approached me when I made squirrel noise I learned growing up in rural area. The area was very hilly and wooded with many side paths that I didn’t have time to explore.",true,,,,,,,
14G,AM,10122018,"Two mounted PEP officers passed by on East Drive, surrounded by a cluster of gawking CitiBikers.",,,,,,,,
14H,AM,10072018,"Many people taking pictures at Alice in Wonderland. More kids than adults. Quieter, less dogs.",,true,true,,,,,
14I,AM,10132018,Many dogs off leash running on the large grassy area. But some very cute dogs in raincoats!,,true,true,,,,,
14I,PM,10182018,More foliage on eastern side of the path. I saw Squirrel #3 twice but was sure it was the same squirrel.,true,true,,,,,,
14I,AM,10202018,"Lots of small humans climbing on the statue, and squeaky sounds when they clamber on it. 

Plenty of birds chirping, and a falcon or hawk swooped by, fairly close to the tree canopy. Little clusters of people stretching or doing Tai-chi, posing for family portraits, or eating bagels and cream cheese on the benches. 

Any time I saw movement — a falling cluster of leaves, birds on the ground — I hoped it was a squirrel! Finally, it was! Squirrel was up in the tree eating and dropping things to the ground.",true,true,true,true,,,,
14I,PM,10122018,"In observing the many activities, a juvenile squirrel was high on the tree and resumed to go inside its home. We also saw a blue jay in the cardinal. We saw very weird trees and plants. We collected a lot of acorns to give to the squirrels. Overall we had a great time counting all the squirrels.",true,true,,true,,,,Birds
15A,AM,10072018,"crying children
dogs that look like old men
golf cart?

Comicon (?) attendees appearing to pose w/ a taxidermied fox (?) -- some sort of ritual / photoshoot",,,,,true,,,
15A,PM,10192018,"Squirrel #1 foraging. Gray and chestnut. Looked at me. Young.

Five dogs.

Some areas not accessible via foot. Many small birds on the ground and in the trees. 

Two humans in a tree, kissing. They did not appreciate my presence.",true,true,,,,,,
15A,PM,10172018,"Saw black squirrel just ""north"" of hectare.",true,,,,,,,
15B,AM,10192018,All squirrels found in quieter sections off main walkways that were dense w/ fallen leaves + trees/greenery. Large concentration near the “Triplets Bridge” where there’s a dip in terrain near creek. (quiet) #3 here was so happy + content munching on his breakfast acorn!!,true,,,,,,,
15B,PM,10172018,- Busy hectare - Squirrel nest - Lots! - Amusing squirrel community!,true,,,,,,,
15B,AM,10142018,Squirrels #2 and #3 were foraging in a narrow strip between the road + a footpath as the Breast Cancer Walk went by -- both were mostly indifferent to all the people passing by. The younger of the two only ran when a dog showed interest.,true,true,true,,,,,
15C,PM,10172018,"rat, ducks, geese, large fish, little mouse. 
odd weather - got very dark very suddenly. 
crows, cardinals, so many birds I don't recognize. 
met man who told us about a bee census that lasted 3 yrs -- sponsored by museum of nat'l history. 
asters, goldenrod, other wildflowers",,,,true,,,,
15C,AM,10102018,I found it rather odd that I only sighted three squirrels. Am I wrong assuming this densely forested area would have more?,,,,,,,,
15D,AM,10072018,"3: scratched ear like dog?
acorn may or may not have been deliberately dropped on one census taker's head",true,true,,,,true,,
15D,PM,10172018,"Mostly men walking by themselves. 
A pair of women pushing a stroller were 
stopped by a bench. One woman was 
on the phone. She was confirming that 
they would go get the 6 train.",,,,,true,,,
15E,PM,10192018,"woman enjoying food on rock 
quiet foot traffic 
beautiful London plane trees!",,,,,true,,,
15E,PM,10082018,"(*) Squirrels 7&8 are eating together, silently",true,,,,,,,
15E,AM,10132018,Two people/ lots of sparrows and bluejays near ground plane. Quiet! Cold and damp. Light rain.,,true,,true,,,,Birds
15F,PM,10102018,"Many walkers
Some dogs",,true,true,,,,,
15F,AM,10072018,"Occasional walkers and dog walkers
Squirrels #1 and #2 startled each other and ran in separate directions
Squirrel #2 kept climbing, Squirrel #1 laid low, both ran away from humans. Squirrel #1 eventually returned and didn't really care about me.
Squirrels #5 and #6 were a sprinting pair.
Squirrel #7 was close to where nuts were dropping from trees!
Tour group in southeast corner! Or, birdwatchers?
Guy was imitating a bird call so well! No squirrels in the area though.",true,true,,true,,,,Birds/Birdwatchers
15G,PM,10192018,"An older woman was taking pictures (with a real camera!) of a statue as I went past her -- She told me that she's been walking the same path every day for years + had never noticed the statue until today! She said ""isn't it amazing to see something for the first time?"" <3 

""Is it the standard 'History of Armenia' that everyone [underlined] reads?"" - overheard 

[""Big golden retriever playing fetch (named Mel!)""]",,,,,,,,
15G,AM,10082018,"less dogs joggers & cyclists 
pretty quiet 
someone reading 
(3) chasing (4)",,,,,true,,,
15G,PM,10062018,I never noticed the sculpture of a hunting wild cat before so I’m glad I was assigned this area! Behind it is densely wooded. Near it I came across a rotted log with some pretty cool round white mushrooms – somewhat marshmallow-esque. I also found a spot where a lot of people apparently come to take a shit. There was much poop-streaked toilet paper here. Squirrels spotted back here were indifferent to it!,true,true,,,,,,
15H,AM,10202018,"The green space is pretty empty but the sidewalks/roads have a few people with dogs. The squirrels seem to be chasing each other through the shade. Sunny patches of dried leaves, seemingly not noticing people and dogs. And when they do, they freeze where they are. 

One squirrel kept rubbing its face after digging. If was a human would spread lotion on her face. Then continued to bite its back like a grooming cat.",,true,,,,true,,
15H,PM,10192018,"Saw kids hunting for dinosaur bones and a couple arguing about whether Bill Pullman is dead or alive at a bench donated in his honor.

Soccer game going on (a small one) right in the middle of the hectare. 

Big poodle playing in top right corner.

More dogs and kids playing than in other hectares I've visited so far.",,true,true,,,,,
15H,AM,10132018,"A dog got very upset when his tennis ball was thrown into a bush.

Little boys in suits riding scooters.",,true,true,,,,,
16I,AM,10192018,"This hectare was loud — full of kids! But the squirrels seemed mostly unconcerned. 

And, Squirrel #5 came right towards me — I think if I hadn't backed up a bit, it would have come right to me feet. It sat up on its hind legs and looked right at me.",true,,,,,,,
15H,PM,10082018,"Blue jays making a huge racket just west of my hectare. Surely they must be warning of a hawk. Thought for sure I wouldn’t see him squirrels with their alarms but soon as I started found Squirrels #1 and #2 chasing each other up and down trunk of oak tree. Squirrel #1 stopped, and Squirrel #2 continued up and out of sight. Squirrel #1 either stopped to watch me or the blue jays behind me alerted him. A couple of short quaas and then sudden stillness. I moved before it did.",true,true,,,,,,
15I,PM,10202018,The squirrel stood like he was park kangaroo..poised to punch. I was still while he approached. He was the Mike Tyson of hectare 15-I.,true,,,,,,,
15I,PM,10122018,- the 5th squirrel is finding places to hide its food. It's burying its nut and looks at human for a while to make sure its food is safe.,true,,,,,,,
15I,AM,10082018,"Squirrel number one ran from tree to tree and around the playground (empty at the time).

Loud hectare! Drainage sounds, birds, cars, people.

Birthday balloon caught in tree.

No kids until 9:17 a.m. on the playground.

Two Russell terriers meeting each other.

Strollers!

Hotdog stand being pulled down the street, setting up for the day.

Not many sightings on the sidewalk.",true,true,true,,,,,
15I,AM,10202018,"This path is calm, but the roads around it have a lot of carriages horses and strollers and bicycles. The squirrels don’t seem to be paying any attention to that — they’re just chasing each other around!",true,true,,,,,,
16A,PM,10082018,"- Row of cops just sitting along the side of a stone wall (6).

- Lots of acorns lining the road

- Passed a guy being filmed who had what looked like a pig-nose attachment

- Upon further inspection, cops parked a string of motorcycles by Alexander on Hu",,true,,,,,,
16A,AM,10132018,"Parks cleaning people driving and drinking coffee at the same time. His driving was quite skilled! 

Finally on my way out I met a couple from South Africa and they showed me pictures of all kinds of elephants and cheetahs and his girlfriend, and he was here entering a fishing competition in Alabama.

Lots of tourists climbing the rock.",,true,,,,,true,
16B,AM,10202018,"Saw a family photo shoot with a little dog named Queenie, as well as some ducks, but hardly any squirrels! If I was a squirrel I'd be asleep in my nest right now, for sure.",,true,true,true,,,,
16B,AM,10142018,"Squirrel #2 was difficult to record — I spotted it on the ground, then marked its location. When I looked back for fur color, it was already up a tree 10 feet away. When I looked back again, it had climbed across the upper branches and was descending a different tree, 15 more feet away.",true,,,,,,,
16B,PM,10172018,Much quieter — time of day?,,true,,,,,,
16C,PM,10132018,"One adult grey squirrel found a whole piece of toast. Some babies walked toward him; unclear if they wanted the squirrel or the toast. 

I saw the most beautiful Bluejay. 

a woman stopped me + thanked me for doing the ""squirrel count.""",true,,,true,,,true,
16C,AM,10082018,Lots of dogs in the meadow might have kept the squirrels hiding on that side of the hectare.,true,true,,,,,,
16C,PM,10182018,"This hectare is just inside one of the west side entrances by the Ramble, so it’s both touristy and fairly heavily wooded except for the meadow. Lots of traffic, but still quiet. People generally keep to the path. A mini cop car just passed, but it’s quiet too. I don’t see a dog just now, but the smell of dog shit suggests it was here pretty recently. A woman is painting a number of different kinds of leaves, but I can’t yet discern the overall composition of the peace. It’s the busiest thing in the hectare.",,true,,,,,,
16D,AM,10072018,"This area was more fun, and had more squirrels -- especially off-path where there weren't many people / dogs. 

Saw a lot of mushrooms too!",true,,,,,,,
